Ethernet100     GHC1_port0
Ethernet101     GHC1_port1 
Ethernet102     GHC1_port2 
Ethernet103     GHC1_port3 
Ethernet104     GHC1_port4 
Ethernet105     GHC1_port5 
Ethernet106     GHC1_port6 
Ethernet107     GHC1_port7 
Ethernet108     GHC1_port8 
Ethernet109     GHC1_port9 
Ethernet110     GHC1_port10
Ethernet112     GHC0_port0
Ethernet113     GHC0_port1 
Ethernet114     GHC0_port2 
Ethernet115     GHC0_port3 
Ethernet116     GHC0_port4 
Ethernet117     GHC0_port5 
Ethernet118     GHC0_port6 
Ethernet119     GHC0_port7 
Ethernet120     GHC0_port8 
Ethernet121     GHC0_port9 
Ethernet122     GHC0_port10
